model	seed	file	date	weed_instances	crop_instances	candidates	accepted_candidates	eligible_weed_candidates	all_candidate_precision	many_to_one_spatial_recalled	many_to_one_role_qualified_recalled	one_to_one_role_qualified_recalled	crop_overlap_scene	maximum_crop_fraction
maskrcnn	20260821	2023-05-30_0044	2023-05-30	46	11	61	20	16	0.8	14	13	13	0	0.0
maskrcnn	20260821	2023-05-30_0099	2023-05-30	52	1	78	20	18	0.9	14	13	13	0	0.0
maskrcnn	20260821	2023-05-30_0114	2023-05-30	35	5	69	20	15	0.75	16	15	14	0	0.0
maskrcnn	20260821	2023-05-30_0649	2023-05-30	93	6	100	20	20	1.0	23	23	20	0	0.0
maskrcnn	20260821	2023-05-30_0652	2023-05-30	55	5	69	20	20	1.0	21	21	19	0	0.0
maskrcnn	20260821	2023-05-30_0720	2023-05-30	49	13	68	20	18	0.9	20	19	18	0	0.0
maskrcnn	20260821	2023-05-30_0750	2023-05-30	67	14	85	20	19	0.95	20	20	19	0	0.0
maskrcnn	20260821	2023-06-06_0161	2023-06-06	101	10	95	20	20	1.0	23	23	20	0	0.0
maskrcnn	20260821	2023-06-06_0166	2023-06-06	76	0	100	20	20	1.0	18	18	17	0	0.0
maskrcnn	20260821	2023-06-06_0176	2023-06-06	150	7	100	20	20	1.0	21	21	20	1	0.018666666666666668
maskrcnn	20260821	2023-06-06_0231	2023-06-06	65	8	81	20	19	0.95	23	20	19	1	0.11772151898734177
maskrcnn	20260821	2023-06-06_0667	2023-06-06	95	11	100	20	20	1.0	21	21	20	0	0.0
maskrcnn	20260821	2023-06-06_0670	2023-06-06	96	11	99	20	20	1.0	22	22	20	0	0.0
maskrcnn	20260821	2023-06-06_0736	2023-06-06	69	11	97	20	20	1.0	22	22	20	0	0.0
maskrcnn	20260821	2023-06-06_0770	2023-06-06	74	10	100	20	20	1.0	21	21	20	0	0.0
maskrcnn	20260821	2023-06-15_0169	2023-06-15	80	4	100	20	20	1.0	12	12	12	0	0.0
maskrcnn	20260821	2023-06-15_0735	2023-06-15	74	7	100	20	20	1.0	10	10	10	0	0.0
maskrcnn	20260822	2023-05-25_0109	2023-05-25	17	5	74	20	2	0.1	1	1	1	1	0.55
maskrcnn	20260822	2023-05-25_0114	2023-05-25	17	11	63	20	10	0.5	6	6	6	1	0.9767441860465116
maskrcnn	20260822	2023-05-25_0170	2023-05-25	16	10	73	20	2	0.1	4	2	2	1	0.5609756097560976
maskrcnn	20260822	2023-05-25_0183	2023-05-25	9	10	57	20	4	0.2	3	2	2	0	0.0
maskrcnn	20260822	2023-05-25_0681	2023-05-25	69	25	78	20	12	0.6	15	11	11	1	0.7184466019417476
maskrcnn	20260822	2023-05-25_0685	2023-05-25	114	23	98	20	14	0.7	17	14	12	0	0.0
maskrcnn	20260822	2023-05-25_0750	2023-05-25	74	13	83	20	13	0.65	13	11	11	0	0.0
maskrcnn	20260822	2023-05-25_0786	2023-05-25	76	25	73	20	14	0.7	19	13	13	1	0.03773584905660377
maskrcnn	20260822	2023-05-30_0039	2023-05-30	43	0	71	20	9	0.45	14	8	8	0	0.0
maskrcnn	20260822	2023-05-30_0044	2023-05-30	46	11	65	20	14	0.7	18	14	14	0	0.0
maskrcnn	20260822	2023-05-30_0099	2023-05-30	52	1	77	20	18	0.9	16	16	16	0	0.0
maskrcnn	20260822	2023-05-30_0114	2023-05-30	35	5	56	20	15	0.75	16	13	13	0	0.0
maskrcnn	20260822	2023-05-30_0649	2023-05-30	93	6	96	20	20	1.0	22	22	20	0	0.0
maskrcnn	20260822	2023-05-30_0652	2023-05-30	55	5	69	20	19	0.95	20	19	19	0	0.0
maskrcnn	20260822	2023-05-30_0720	2023-05-30	49	13	67	20	19	0.95	20	19	19	0	0.0
maskrcnn	20260822	2023-05-30_0750	2023-05-30	67	14	87	20	20	1.0	20	20	20	0	0.0
maskrcnn	20260822	2023-06-06_0161	2023-06-06	101	10	88	20	20	1.0	23	23	20	0	0.0
