seed	policy	file	date	weed_instances	accepted_candidates	role_qualified_candidates	candidate_precision	many_to_one_qualified_recalled	one_to_one_qualified_recalled	many_to_one_qualified_recall	one_to_one_qualified_recall	crop_overlap_scene
20260811	bounded_global_min5_max50	2023-05-30_0044	2023-05-30	46	11	11	1.0	11	11	0.2391304347826087	0.2391304347826087	0
20260811	bounded_global_min5_max50	2023-05-30_0099	2023-05-30	52	20	19	0.95	17	17	0.3269230769230769	0.3269230769230769	0
20260811	bounded_global_min5_max50	2023-05-30_0114	2023-05-30	35	7	4	0.5714285714285714	5	4	0.14285714285714285	0.11428571428571428	0
20260811	bounded_global_min5_max50	2023-05-30_0649	2023-05-30	93	47	45	0.9574468085106383	52	43	0.5591397849462365	0.46236559139784944	0
20260811	bounded_global_min5_max50	2023-05-30_0652	2023-05-30	55	23	22	0.9565217391304348	23	20	0.41818181818181815	0.36363636363636365	0
20260811	bounded_global_min5_max50	2023-05-30_0720	2023-05-30	49	20	20	1.0	24	20	0.4897959183673469	0.40816326530612246	0
20260811	bounded_global_min5_max50	2023-05-30_0750	2023-05-30	67	25	25	1.0	29	25	0.43283582089552236	0.373134328358209	0
20260811	bounded_global_min5_max50	2023-06-06_0161	2023-06-06	101	45	45	1.0	54	43	0.5346534653465347	0.42574257425742573	0
20260811	bounded_global_min5_max50	2023-06-06_0166	2023-06-06	76	14	13	0.9285714285714286	15	13	0.19736842105263158	0.17105263157894737	0
20260811	bounded_global_min5_max50	2023-06-06_0176	2023-06-06	150	50	49	0.98	73	47	0.4866666666666667	0.31333333333333335	0
20260811	bounded_global_min5_max50	2023-06-06_0231	2023-06-06	65	34	31	0.9117647058823529	35	30	0.5384615384615384	0.46153846153846156	0
20260811	bounded_global_min5_max50	2023-06-06_0667	2023-06-06	95	31	29	0.9354838709677419	37	29	0.3894736842105263	0.30526315789473685	0
20260811	bounded_global_min5_max50	2023-06-06_0670	2023-06-06	96	40	39	0.975	51	38	0.53125	0.3958333333333333	0
20260811	bounded_global_min5_max50	2023-06-06_0736	2023-06-06	69	29	28	0.9655172413793104	51	26	0.7391304347826086	0.37681159420289856	0
20260811	bounded_global_min5_max50	2023-06-06_0770	2023-06-06	74	41	40	0.975609756097561	56	40	0.7567567567567568	0.5405405405405406	0
20260811	bounded_global_min5_max50	2023-06-15_0169	2023-06-15	80	18	15	0.8333333333333334	24	14	0.3	0.175	0
20260811	bounded_global_min5_max50	2023-06-15_0735	2023-06-15	74	5	3	0.6	2	2	0.02702702702702703	0.02702702702702703	0
20260811	fixed_K20_per_tile	2023-05-25_0109	2023-05-25	17	13	1	0.07692307692307693	1	1	0.058823529411764705	0.058823529411764705	1
20260811	fixed_K20_per_tile	2023-05-25_0114	2023-05-25	17	20	7	0.35	6	6	0.35294117647058826	0.35294117647058826	1
20260811	fixed_K20_per_tile	2023-05-25_0170	2023-05-25	16	16	1	0.0625	1	1	0.0625	0.0625	1
20260811	fixed_K20_per_tile	2023-05-25_0183	2023-05-25	9	16	2	0.125	2	2	0.2222222222222222	0.2222222222222222	1
20260811	fixed_K20_per_tile	2023-05-25_0681	2023-05-25	69	20	4	0.2	2	2	0.028985507246376812	0.028985507246376812	1
20260811	fixed_K20_per_tile	2023-05-25_0685	2023-05-25	114	20	10	0.5	11	8	0.09649122807017543	0.07017543859649122	1
20260811	fixed_K20_per_tile	2023-05-25_0750	2023-05-25	74	20	10	0.5	8	8	0.10810810810810811	0.10810810810810811	1
20260811	fixed_K20_per_tile	2023-05-25_0786	2023-05-25	76	20	13	0.65	12	12	0.15789473684210525	0.15789473684210525	1
20260811	fixed_K20_per_tile	2023-05-30_0039	2023-05-30	43	20	11	0.55	10	10	0.23255813953488372	0.23255813953488372	0
20260811	fixed_K20_per_tile	2023-05-30_0044	2023-05-30	46	20	17	0.85	16	16	0.34782608695652173	0.34782608695652173	0
20260811	fixed_K20_per_tile	2023-05-30_0099	2023-05-30	52	20	19	0.95	17	17	0.3269230769230769	0.3269230769230769	0
20260811	fixed_K20_per_tile	2023-05-30_0114	2023-05-30	35	20	13	0.65	11	10	0.3142857142857143	0.2857142857142857	0
20260811	fixed_K20_per_tile	2023-05-30_0649	2023-05-30	93	20	19	0.95	21	17	0.22580645161290322	0.1827956989247312	0
20260811	fixed_K20_per_tile	2023-05-30_0652	2023-05-30	55	20	20	1.0	21	18	0.38181818181818183	0.32727272727272727	0
20260811	fixed_K20_per_tile	2023-05-30_0720	2023-05-30	49	20	20	1.0	24	20	0.4897959183673469	0.40816326530612246	0
20260811	fixed_K20_per_tile	2023-05-30_0750	2023-05-30	67	20	20	1.0	23	20	0.34328358208955223	0.29850746268656714	0
20260811	fixed_K20_per_tile	2023-06-06_0161	2023-06-06	101	20	20	1.0	26	20	0.25742574257425743	0.19801980198019803	0
20260811	fixed_K20_per_tile	2023-06-06_0166	2023-06-06	76	20	19	0.95	24	19	0.3157894736842105	0.25	0
20260811	fixed_K20_per_tile	2023-06-06_0176	2023-06-06	150	20	20	1.0	28	20	0.18666666666666668	0.13333333333333333	0
20260811	fixed_K20_per_tile	2023-06-06_0231	2023-06-06	65	20	18	0.9	20	18	0.3076923076923077	0.27692307692307694	0
20260811	fixed_K20_per_tile	2023-06-06_0667	2023-06-06	95	20	19	0.95	26	19	0.2736842105263158	0.2	0
20260811	fixed_K20_per_tile	2023-06-06_0670	2023-06-06	96	20	20	1.0	30	20	0.3125	0.20833333333333334	0
20260811	fixed_K20_per_tile	2023-06-06_0736	2023-06-06	69	20	20	1.0	33	19	0.4782608695652174	0.2753623188405797	0
20260811	fixed_K20_per_tile	2023-06-06_0770	2023-06-06	74	20	20	1.0	23	20	0.3108108108108108	0.2702702702702703	0
20260811	fixed_K20_per_tile	2023-06-15_0169	2023-06-15	80	20	17	0.85	25	15	0.3125	0.1875	0
20260811	fixed_K20_per_tile	2023-06-15_0735	2023-06-15	74	20	6	0.3	3	3	0.04054054054054054	0.04054054054054054	0
20260811	global_top_equal_fixed_budget	2023-05-25_0109	2023-05-25	17	0	0	0.0	0	0	0.0	0.0	0
20260811	global_top_equal_fixed_budget	2023-05-25_0114	2023-05-25	17	1	1	1.0	1	1	0.058823529411764705	0.058823529411764705	0
20260811	global_top_equal_fixed_budget	2023-05-25_0170	2023-05-25	16	2	0	0.0	0	0	0.0	0.0	0
20260811	global_top_equal_fixed_budget	2023-05-25_0183	2023-05-25	9	0	0	0.0	0	0	0.0	0.0	0
20260811	global_top_equal_fixed_budget	2023-05-25_0681	2023-05-25	69	0	0	0.0	0	0	0.0	0.0	0
20260811	global_top_equal_fixed_budget	2023-05-25_0685	2023-05-25	114	2	1	0.5	1	1	0.008771929824561403	0.008771929824561403	0
20260811	global_top_equal_fixed_budget	2023-05-25_0750	2023-05-25	74	2	2	1.0	2	2	0.02702702702702703	0.02702702702702703	0
