model	k	stratum	minimum_iou	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_frozen_dinov2_linear	20	2023-05-30	0.5	160	440	46	0.10454545454545454	46	0.10454545454545454
all_candidate_frozen_dinov2_linear	20	2023-05-30	0.75	160	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_frozen_dinov2_linear	20	2023-06-06	0.25	160	726	167	0.23002754820936638	154	0.21212121212121213
all_candidate_frozen_dinov2_linear	20	2023-06-06	0.5	160	726	97	0.13360881542699724	97	0.13360881542699724
all_candidate_frozen_dinov2_linear	20	2023-06-06	0.75	160	726	20	0.027548209366391185	20	0.027548209366391185
all_candidate_frozen_dinov2_linear	20	2023-06-15	0.25	40	154	13	0.08441558441558442	12	0.07792207792207792
all_candidate_frozen_dinov2_linear	20	2023-06-15	0.5	40	154	8	0.05194805194805195	8	0.05194805194805195
all_candidate_frozen_dinov2_linear	20	2023-06-15	0.75	40	154	0	0.0	0	0.0
all_candidate_frozen_dinov2_linear	50	ALL	0.25	1237	1712	548	0.32009345794392524	523	0.3054906542056075
all_candidate_frozen_dinov2_linear	50	ALL	0.5	1237	1712	240	0.14018691588785046	240	0.14018691588785046
all_candidate_frozen_dinov2_linear	50	ALL	0.75	1237	1712	27	0.015771028037383176	27	0.015771028037383176
all_candidate_frozen_dinov2_linear	50	2023-05-25	0.25	382	392	32	0.08163265306122448	31	0.07908163265306123
all_candidate_frozen_dinov2_linear	50	2023-05-25	0.5	382	392	9	0.02295918367346939	9	0.02295918367346939
all_candidate_frozen_dinov2_linear	50	2023-05-25	0.75	382	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_frozen_dinov2_linear	50	2023-05-30	0.25	400	440	186	0.42272727272727273	182	0.41363636363636364
all_candidate_frozen_dinov2_linear	50	2023-05-30	0.5	400	440	62	0.1409090909090909	62	0.1409090909090909
all_candidate_frozen_dinov2_linear	50	2023-05-30	0.75	400	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_frozen_dinov2_linear	50	2023-06-06	0.25	398	726	312	0.4297520661157025	293	0.4035812672176309
all_candidate_frozen_dinov2_linear	50	2023-06-06	0.5	398	726	158	0.21763085399449036	158	0.21763085399449036
all_candidate_frozen_dinov2_linear	50	2023-06-06	0.75	398	726	23	0.03168044077134986	23	0.03168044077134986
all_candidate_frozen_dinov2_linear	50	2023-06-15	0.25	57	154	18	0.11688311688311688	17	0.11038961038961038
all_candidate_frozen_dinov2_linear	50	2023-06-15	0.5	57	154	11	0.07142857142857142	11	0.07142857142857142
all_candidate_frozen_dinov2_linear	50	2023-06-15	0.75	57	154	0	0.0	0	0.0
all_candidate_component_masked_dinov2_linear	1	ALL	0.25	26	1712	22	0.012850467289719626	21	0.012266355140186916
all_candidate_component_masked_dinov2_linear	1	ALL	0.5	26	1712	16	0.009345794392523364	16	0.009345794392523364
all_candidate_component_masked_dinov2_linear	1	ALL	0.75	26	1712	5	0.0029205607476635513	5	0.0029205607476635513
all_candidate_component_masked_dinov2_linear	1	2023-05-25	0.25	8	392	5	0.012755102040816327	5	0.012755102040816327
all_candidate_component_masked_dinov2_linear	1	2023-05-25	0.5	8	392	4	0.01020408163265306	4	0.01020408163265306
all_candidate_component_masked_dinov2_linear	1	2023-05-25	0.75	8	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_component_masked_dinov2_linear	1	2023-05-30	0.25	8	440	7	0.015909090909090907	6	0.013636363636363636
all_candidate_component_masked_dinov2_linear	1	2023-05-30	0.5	8	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_component_masked_dinov2_linear	1	2023-05-30	0.75	8	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_component_masked_dinov2_linear	1	2023-06-06	0.25	8	726	8	0.011019283746556474	8	0.011019283746556474
all_candidate_component_masked_dinov2_linear	1	2023-06-06	0.5	8	726	7	0.009641873278236915	7	0.009641873278236915
all_candidate_component_masked_dinov2_linear	1	2023-06-06	0.75	8	726	2	0.0027548209366391185	2	0.0027548209366391185
all_candidate_component_masked_dinov2_linear	1	2023-06-15	0.25	2	154	2	0.012987012987012988	2	0.012987012987012988
all_candidate_component_masked_dinov2_linear	1	2023-06-15	0.5	2	154	2	0.012987012987012988	2	0.012987012987012988
all_candidate_component_masked_dinov2_linear	1	2023-06-15	0.75	2	154	0	0.0	0	0.0
all_candidate_component_masked_dinov2_linear	5	ALL	0.25	130	1712	95	0.055490654205607476	90	0.052570093457943924
all_candidate_component_masked_dinov2_linear	5	ALL	0.5	130	1712	56	0.03271028037383177	56	0.03271028037383177
all_candidate_component_masked_dinov2_linear	5	ALL	0.75	130	1712	11	0.006425233644859813	11	0.006425233644859813
all_candidate_component_masked_dinov2_linear	5	2023-05-25	0.25	40	392	14	0.03571428571428571	14	0.03571428571428571
all_candidate_component_masked_dinov2_linear	5	2023-05-25	0.5	40	392	6	0.015306122448979591	6	0.015306122448979591
all_candidate_component_masked_dinov2_linear	5	2023-05-25	0.75	40	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_component_masked_dinov2_linear	5	2023-05-30	0.25	40	440	35	0.07954545454545454	34	0.07727272727272727
all_candidate_component_masked_dinov2_linear	5	2023-05-30	0.5	40	440	16	0.03636363636363636	16	0.03636363636363636
all_candidate_component_masked_dinov2_linear	5	2023-05-30	0.75	40	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_component_masked_dinov2_linear	5	2023-06-06	0.25	40	726	41	0.05647382920110193	37	0.05096418732782369
all_candidate_component_masked_dinov2_linear	5	2023-06-06	0.5	40	726	29	0.03994490358126722	29	0.03994490358126722
all_candidate_component_masked_dinov2_linear	5	2023-06-06	0.75	40	726	8	0.011019283746556474	8	0.011019283746556474
all_candidate_component_masked_dinov2_linear	5	2023-06-15	0.25	10	154	5	0.032467532467532464	5	0.032467532467532464
all_candidate_component_masked_dinov2_linear	5	2023-06-15	0.5	10	154	5	0.032467532467532464	5	0.032467532467532464
all_candidate_component_masked_dinov2_linear	5	2023-06-15	0.75	10	154	0	0.0	0	0.0
all_candidate_component_masked_dinov2_linear	10	ALL	0.25	260	1712	174	0.10163551401869159	166	0.0969626168224299
all_candidate_component_masked_dinov2_linear	10	ALL	0.5	260	1712	104	0.06074766355140187	104	0.06074766355140187
all_candidate_component_masked_dinov2_linear	10	ALL	0.75	260	1712	19	0.011098130841121495	19	0.011098130841121495
all_candidate_component_masked_dinov2_linear	10	2023-05-25	0.25	80	392	17	0.04336734693877551	17	0.04336734693877551
all_candidate_component_masked_dinov2_linear	10	2023-05-25	0.5	80	392	7	0.017857142857142856	7	0.017857142857142856
all_candidate_component_masked_dinov2_linear	10	2023-05-25	0.75	80	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_component_masked_dinov2_linear	10	2023-05-30	0.25	80	440	65	0.14772727272727273	64	0.14545454545454545
all_candidate_component_masked_dinov2_linear	10	2023-05-30	0.5	80	440	31	0.07045454545454545	31	0.07045454545454545
all_candidate_component_masked_dinov2_linear	10	2023-05-30	0.75	80	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_component_masked_dinov2_linear	10	2023-06-06	0.25	80	726	82	0.11294765840220386	76	0.1046831955922865
all_candidate_component_masked_dinov2_linear	10	2023-06-06	0.5	80	726	59	0.081267217630854	59	0.081267217630854
all_candidate_component_masked_dinov2_linear	10	2023-06-06	0.75	80	726	16	0.02203856749311295	16	0.02203856749311295
all_candidate_component_masked_dinov2_linear	10	2023-06-15	0.25	20	154	10	0.06493506493506493	9	0.05844155844155844
all_candidate_component_masked_dinov2_linear	10	2023-06-15	0.5	20	154	7	0.045454545454545456	7	0.045454545454545456
all_candidate_component_masked_dinov2_linear	10	2023-06-15	0.75	20	154	0	0.0	0	0.0
all_candidate_component_masked_dinov2_linear	20	ALL	0.25	520	1712	325	0.18983644859813084	307	0.17932242990654207
all_candidate_component_masked_dinov2_linear	20	ALL	0.5	520	1712	163	0.09521028037383178	163	0.09521028037383178
all_candidate_component_masked_dinov2_linear	20	ALL	0.75	520	1712	24	0.014018691588785047	24	0.014018691588785047
all_candidate_component_masked_dinov2_linear	20	2023-05-25	0.25	160	392	28	0.07142857142857142	27	0.06887755102040816
all_candidate_component_masked_dinov2_linear	20	2023-05-25	0.5	160	392	9	0.02295918367346939	9	0.02295918367346939
all_candidate_component_masked_dinov2_linear	20	2023-05-25	0.75	160	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_component_masked_dinov2_linear	20	2023-05-30	0.25	160	440	118	0.2681818181818182	115	0.26136363636363635
all_candidate_component_masked_dinov2_linear	20	2023-05-30	0.5	160	440	45	0.10227272727272728	45	0.10227272727272728
all_candidate_component_masked_dinov2_linear	20	2023-05-30	0.75	160	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_component_masked_dinov2_linear	20	2023-06-06	0.25	160	726	165	0.22727272727272727	152	0.209366391184573
all_candidate_component_masked_dinov2_linear	20	2023-06-06	0.5	160	726	100	0.13774104683195593	100	0.13774104683195593
all_candidate_component_masked_dinov2_linear	20	2023-06-06	0.75	160	726	20	0.027548209366391185	20	0.027548209366391185
all_candidate_component_masked_dinov2_linear	20	2023-06-15	0.25	40	154	14	0.09090909090909091	13	0.08441558441558442
all_candidate_component_masked_dinov2_linear	20	2023-06-15	0.5	40	154	9	0.05844155844155844	9	0.05844155844155844
all_candidate_component_masked_dinov2_linear	20	2023-06-15	0.75	40	154	0	0.0	0	0.0
all_candidate_component_masked_dinov2_linear	50	ALL	0.25	1237	1712	550	0.3212616822429907	525	0.3066588785046729
all_candidate_component_masked_dinov2_linear	50	ALL	0.5	1237	1712	239	0.13960280373831777	239	0.13960280373831777
all_candidate_component_masked_dinov2_linear	50	ALL	0.75	1237	1712	27	0.015771028037383176	27	0.015771028037383176
all_candidate_component_masked_dinov2_linear	50	2023-05-25	0.25	382	392	32	0.08163265306122448	31	0.07908163265306123
all_candidate_component_masked_dinov2_linear	50	2023-05-25	0.5	382	392	9	0.02295918367346939	9	0.02295918367346939
all_candidate_component_masked_dinov2_linear	50	2023-05-25	0.75	382	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_component_masked_dinov2_linear	50	2023-05-30	0.25	400	440	190	0.4318181818181818	185	0.42045454545454547
all_candidate_component_masked_dinov2_linear	50	2023-05-30	0.5	400	440	62	0.1409090909090909	62	0.1409090909090909
all_candidate_component_masked_dinov2_linear	50	2023-05-30	0.75	400	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_component_masked_dinov2_linear	50	2023-06-06	0.25	398	726	310	0.42699724517906334	292	0.4022038567493113
all_candidate_component_masked_dinov2_linear	50	2023-06-06	0.5	398	726	157	0.2162534435261708	157	0.2162534435261708
all_candidate_component_masked_dinov2_linear	50	2023-06-06	0.75	398	726	23	0.03168044077134986	23	0.03168044077134986
all_candidate_component_masked_dinov2_linear	50	2023-06-15	0.25	57	154	18	0.11688311688311688	17	0.11038961038961038
all_candidate_component_masked_dinov2_linear	50	2023-06-15	0.5	57	154	11	0.07142857142857142	11	0.07142857142857142
all_candidate_component_masked_dinov2_linear	50	2023-06-15	0.75	57	154	0	0.0	0	0.0
