model	k	stratum	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	selected_candidates	weed_truth_instances	many_to_one_recalled_instances	many_to_one_queued_recall	one_to_one_matches	one_to_one_queued_recall
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.5	0.75	130	1712	120	0.07009345794392523	46	0.026869158878504672
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.5	0.9	130	1712	59	0.0344626168224299	45	0.026285046728971962
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.75	0.5	130	1712	86	0.05023364485981308	16	0.009345794392523364
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.75	0.75	130	1712	86	0.05023364485981308	16	0.009345794392523364
all_candidate_role_plus_local_logistic	5	ALL	0.75	0.75	0.9	130	1712	25	0.014602803738317757	15	0.008761682242990653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.25	0.5	40	392	4	0.01020408163265306	4	0.01020408163265306
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.25	0.75	40	392	4	0.01020408163265306	4	0.01020408163265306
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.25	0.9	40	392	3	0.007653061224489796	3	0.007653061224489796
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.5	0.5	40	392	4	0.01020408163265306	4	0.01020408163265306
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.5	0.75	40	392	4	0.01020408163265306	4	0.01020408163265306
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.5	0.9	40	392	3	0.007653061224489796	3	0.007653061224489796
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.75	0.5	40	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.75	0.75	40	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_role_plus_local_logistic	5	2023-05-25	0.25	0.75	0.9	40	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.25	0.5	40	392	3	0.007653061224489796	3	0.007653061224489796
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.25	0.75	40	392	3	0.007653061224489796	3	0.007653061224489796
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.25	0.9	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.5	0.5	40	392	3	0.007653061224489796	3	0.007653061224489796
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.5	0.75	40	392	3	0.007653061224489796	3	0.007653061224489796
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.5	0.9	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.75	0.5	40	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.75	0.75	40	392	1	0.002551020408163265	1	0.002551020408163265
all_candidate_role_plus_local_logistic	5	2023-05-25	0.5	0.75	0.9	40	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.25	0.5	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.25	0.75	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.25	0.9	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.5	0.5	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.5	0.75	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.5	0.9	40	392	2	0.00510204081632653	2	0.00510204081632653
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.75	0.5	40	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.75	0.75	40	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	5	2023-05-25	0.75	0.75	0.9	40	392	0	0.0	0	0.0
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.25	0.5	40	440	37	0.08409090909090909	30	0.06818181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.25	0.75	40	440	37	0.08409090909090909	30	0.06818181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.25	0.9	40	440	37	0.08409090909090909	30	0.06818181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.5	0.5	40	440	26	0.05909090909090909	20	0.045454545454545456
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.5	0.75	40	440	26	0.05909090909090909	20	0.045454545454545456
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.5	0.9	40	440	26	0.05909090909090909	20	0.045454545454545456
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.75	0.5	40	440	4	0.00909090909090909	4	0.00909090909090909
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.75	0.75	40	440	4	0.00909090909090909	4	0.00909090909090909
all_candidate_role_plus_local_logistic	5	2023-05-30	0.25	0.75	0.9	40	440	4	0.00909090909090909	4	0.00909090909090909
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.25	0.5	40	440	32	0.07272727272727272	28	0.06363636363636363
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.25	0.75	40	440	32	0.07272727272727272	28	0.06363636363636363
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.25	0.9	40	440	32	0.07272727272727272	28	0.06363636363636363
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.5	0.5	40	440	22	0.05	19	0.04318181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.5	0.75	40	440	22	0.05	19	0.04318181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.5	0.9	40	440	22	0.05	19	0.04318181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.75	0.5	40	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.75	0.75	40	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.5	0.75	0.9	40	440	3	0.006818181818181818	3	0.006818181818181818
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.25	0.5	40	440	27	0.06136363636363636	24	0.05454545454545454
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.25	0.75	40	440	27	0.06136363636363636	24	0.05454545454545454
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.25	0.9	40	440	27	0.06136363636363636	24	0.05454545454545454
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.5	0.5	40	440	18	0.04090909090909091	16	0.03636363636363636
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.5	0.75	40	440	18	0.04090909090909091	16	0.03636363636363636
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.5	0.9	40	440	18	0.04090909090909091	16	0.03636363636363636
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.75	0.5	40	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.75	0.75	40	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	5	2023-05-30	0.75	0.75	0.9	40	440	2	0.004545454545454545	2	0.004545454545454545
all_candidate_role_plus_local_logistic	5	2023-06-06	0.25	0.25	0.5	40	726	85	0.11707988980716254	35	0.048209366391184574
all_candidate_role_plus_local_logistic	5	2023-06-06	0.25	0.25	0.75	40	726	49	0.0674931129476584	33	0.045454545454545456
all_candidate_role_plus_local_logistic	5	2023-06-06	0.25	0.25	0.9	40	726	49	0.0674931129476584	33	0.045454545454545456
all_candidate_role_plus_local_logistic	5	2023-06-06	0.25	0.5	0.5	40	726	85	0.11707988980716254	35	0.048209366391184574
