repeat	seed	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
55	2026081000	20	pooled_test	ALL	26	520	148	0.2846153846153846	1712	353	0.2061915887850467	177	0.1033878504672897	174	0.1016355140186915	115	0.0671728971962616	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	15	0.5769230769230769
56	2026081000	20	pooled_test	ALL	26	520	132	0.2538461538461538	1712	304	0.1775700934579439	138	0.080607476635514	159	0.0928738317757009	99	0.0578271028037383	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	16	0.6153846153846154
57	2026081000	20	pooled_test	ALL	26	520	139	0.2673076923076923	1712	308	0.1799065420560747	149	0.0870327102803738	170	0.0992990654205607	110	0.0642523364485981	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	17	0.6538461538461539
58	2026081000	20	pooled_test	ALL	26	520	150	0.2884615384615384	1712	347	0.2026869158878504	172	0.1004672897196261	174	0.1016355140186915	111	0.0648364485981308	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	12	0.4615384615384615
59	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	283	0.165303738317757	147	0.0858644859813084	174	0.1016355140186915	107	0.0625	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	16	0.6153846153846154
60	2026081000	20	pooled_test	ALL	26	520	146	0.2807692307692307	1712	322	0.1880841121495327	159	0.0928738317757009	181	0.1057242990654205	110	0.0642523364485981	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	13	0.5
61	2026081000	20	pooled_test	ALL	26	520	136	0.2615384615384615	1712	362	0.2114485981308411	160	0.0934579439252336	167	0.0975467289719626	100	0.058411214953271	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
62	2026081000	20	pooled_test	ALL	26	520	150	0.2884615384615384	1712	338	0.197429906542056	161	0.0940420560747663	172	0.1004672897196261	116	0.0677570093457943	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	17	0.6538461538461539
63	2026081000	20	pooled_test	ALL	26	520	149	0.2865384615384615	1712	304	0.1775700934579439	152	0.0887850467289719	171	0.0998831775700934	108	0.0630841121495327	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
64	2026081000	20	pooled_test	ALL	26	520	141	0.2711538461538461	1712	332	0.1939252336448598	148	0.0864485981308411	174	0.1016355140186915	110	0.0642523364485981	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	14	0.5384615384615384
