model	seed	file	date	weed_instances	accepted_candidates	eligible_candidates	spatial_recalled	set_coverage_recalled	one_to_one_recalled	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_at_0.00	crop_exposure_at_0.01	crop_exposure_at_0.10	AR100_IoU_0.50	AR20_IoU_0.50	AR100_IoU_0.55	AR20_IoU_0.55	AR100_IoU_0.60	AR20_IoU_0.60	AR100_IoU_0.65	AR20_IoU_0.65	AR100_IoU_0.70	AR20_IoU_0.70	AR100_IoU_0.75	AR20_IoU_0.75	AR100_IoU_0.80	AR20_IoU_0.80	AR100_IoU_0.85	AR20_IoU_0.85	AR100_IoU_0.90	AR20_IoU_0.90	AR100_IoU_0.95	AR20_IoU_0.95
DeepLabV3+--ResNet50	20260821	2023-05-30_0750	2023-05-30	67	20	20	22	22	20	1.0	0.3283582089552239	0.3283582089552239	0.29850746268656714	0	0	0	0.5970149253731343	0.2537313432835821	0.5522388059701493	0.22388059701492538	0.4626865671641791	0.208955223880597	0.3283582089552239	0.16417910447761194	0.16417910447761194	0.1044776119402985	0.04477611940298507	0.029850746268656716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0786	2023-05-25	76	20	17	17	15	15	0.85	0.2236842105263158	0.19736842105263158	0.19736842105263158	0	0	0	0.15789473684210525	0.13157894736842105	0.13157894736842105	0.10526315789473684	0.09210526315789473	0.06578947368421052	0.05263157894736842	0.039473684210526314	0.05263157894736842	0.039473684210526314	0.013157894736842105	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0670	2023-06-06	96	20	19	29	29	19	0.95	0.3020833333333333	0.3020833333333333	0.19791666666666666	0	0	0	0.3645833333333333	0.16666666666666666	0.3125	0.125	0.2708333333333333	0.11458333333333333	0.22916666666666666	0.08333333333333333	0.1875	0.07291666666666667	0.125	0.052083333333333336	0.09375	0.03125	0.020833333333333332	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-30_0649	2023-05-30	93	20	20	23	23	19	1.0	0.24731182795698925	0.24731182795698925	0.20430107526881722	0	0	0	0.44086021505376344	0.15053763440860216	0.3978494623655914	0.13978494623655913	0.27956989247311825	0.11827956989247312	0.15053763440860216	0.06451612903225806	0.06451612903225806	0.021505376344086023	0.021505376344086023	0.021505376344086023	0.010752688172043012	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0685	2023-05-25	114	20	17	20	19	17	0.85	0.17543859649122806	0.16666666666666666	0.14912280701754385	0	0	0	0.16666666666666666	0.10526315789473684	0.14035087719298245	0.08771929824561403	0.08771929824561403	0.05263157894736842	0.05263157894736842	0.03508771929824561	0.017543859649122806	0.008771929824561403	0.008771929824561403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0667	2023-06-06	95	20	17	25	24	17	0.85	0.2631578947368421	0.25263157894736843	0.17894736842105263	0	0	0	0.3684210526315789	0.16842105263157894	0.3263157894736842	0.14736842105263157	0.30526315789473685	0.1368421052631579	0.25263157894736843	0.11578947368421053	0.21052631578947367	0.11578947368421053	0.07368421052631578	0.042105263157894736	0.031578947368421054	0.021052631578947368	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-30_0652	2023-05-30	55	20	18	19	19	17	0.9	0.34545454545454546	0.34545454545454546	0.3090909090909091	0	0	0	0.45454545454545453	0.23636363636363636	0.38181818181818183	0.21818181818181817	0.34545454545454546	0.18181818181818182	0.2909090909090909	0.14545454545454545	0.14545454545454545	0.07272727272727272	0.09090909090909091	0.03636363636363636	0.03636363636363636	0.01818181818181818	0.03636363636363636	0.01818181818181818	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0681	2023-05-25	69	20	11	13	9	8	0.55	0.18840579710144928	0.13043478260869565	0.11594202898550725	1	1	1	0.07246376811594203	0.07246376811594203	0.07246376811594203	0.07246376811594203	0.057971014492753624	0.057971014492753624	0.028985507246376812	0.028985507246376812	0.014492753623188406	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-15_0169	2023-06-15	80	20	13	17	17	12	0.65	0.2125	0.2125	0.15	0	0	0	0.175	0.1125	0.15	0.0875	0.0875	0.0375	0.0625	0.025	0.0375	0.0125	0.025	0.0125	0.025	0.0125	0.0125	0.0125	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0176	2023-06-06	150	20	17	24	21	17	0.85	0.16	0.14	0.11333333333333333	0	0	0	0.26666666666666666	0.08	0.19333333333333333	0.08	0.12666666666666668	0.06666666666666667	0.11333333333333333	0.06	0.04	0.02666666666666667	0.02	0.006666666666666667	0.006666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
