model	instance_coverage	candidate_labeled_coverage	same_role_purity	seeds	mean_candidate_precision	sd_candidate_precision	mean_spatial_recall	sd_spatial_recall	mean_set_coverage_recall	sd_set_coverage_recall	mean_one_to_one_recall	sd_one_to_one_recall	mean_crop_exposure_scene_frequency_at_0.00	sd_crop_exposure_scene_frequency_at_0.00	mean_crop_exposure_scene_frequency_at_0.01	sd_crop_exposure_scene_frequency_at_0.01	mean_crop_exposure_scene_frequency_at_0.10	sd_crop_exposure_scene_frequency_at_0.10
Mask R-CNN--ResNet50-FPN-v2	0.75	0.25	0.9	3	0.8455128205128205	0.006181827410892898	0.16802959501557632	0.016063969106178598	0.16666666666666666	0.01608519435539165	0.16043613707165108	0.016952674883987735	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.5	0.5	3	0.791025641025641	0.012363654821785836	0.16802959501557632	0.016063969106178598	0.1582943925233645	0.012850467289719628	0.15225856697819315	0.01403490754746114	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.5	0.75	3	0.791025641025641	0.012363654821785836	0.16802959501557632	0.016063969106178598	0.1582943925233645	0.012850467289719628	0.15225856697819315	0.01403490754746114	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.5	0.9	3	0.7891025641025641	0.014175220761215364	0.16802959501557632	0.016063969106178598	0.15751557632398755	0.012868155484313323	0.15167445482866046	0.013777289384995705	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.75	0.5	3	0.5064102564102564	0.02728691878691378	0.16802959501557632	0.016063969106178598	0.11214953271028039	0.0025460858315074016	0.10708722741433023	0.003709610374466058	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.75	0.75	3	0.5064102564102564	0.02728691878691378	0.16802959501557632	0.016063969106178598	0.11214953271028039	0.0025460858315074016	0.10708722741433023	0.003709610374466058	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
Mask R-CNN--ResNet50-FPN-v2	0.75	0.75	0.9	3	0.5051282051282051	0.029375485224075903	0.16802959501557632	0.016063969106178598	0.11176012461059191	0.002360661147387488	0.10669781931464174	0.0034225848581088333	0.23076923076923075	0.07692307692307693	0.20512820512820515	0.05875097044815178	0.15384615384615385	0.06661733875264912
ResNet18--U-Net	0.25	0.25	0.5	5	0.7890503584009786	0.020238309384299703	0.2808411214953271	0.02211695744295135	0.27932242990654205	0.022347156790747967	0.2314252336448598	0.004475229277892048	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.25	0.75	5	0.7878692346258253	0.0195712112208829	0.2808411214953271	0.02211695744295135	0.27897196261682244	0.02211387192990022	0.23107476635514015	0.004402206467620742	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.25	0.9	5	0.7878692346258253	0.0195712112208829	0.2808411214953271	0.02211695744295135	0.27897196261682244	0.02211387192990022	0.23107476635514015	0.004402206467620742	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.5	0.5	5	0.7180137822562842	0.026856774832266093	0.2808411214953271	0.02211695744295135	0.2574766355140187	0.02438064800267435	0.2106308411214953	0.005394742938793837	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
