variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
commissioned_T070_A032	70	26	1712	70	2.6923076923076925	0.8428571428571429	0.11156542056074767	0.04439252336448598	0.029205607476635514	0.23076923076923078
original_T095_A032	71	26	1712	71	2.730769230769231	0.8169014084507042	0.08235981308411215	0.03212616822429906	0.02044392523364486	0.34615384615384615
commissioned_T070_A032	71	26	1712	71	2.730769230769231	0.8450704225352113	0.11273364485981309	0.0455607476635514	0.029789719626168224	0.23076923076923078
original_T095_A032	72	26	1712	72	2.769230769230769	0.8194444444444444	0.084696261682243	0.0344626168224299	0.02102803738317757	0.34615384615384615
commissioned_T070_A032	72	26	1712	72	2.769230769230769	0.8472222222222222	0.1133177570093458	0.04614485981308411	0.030373831775700934	0.23076923076923078
original_T095_A032	73	26	1712	73	2.8076923076923075	0.8082191780821918	0.084696261682243	0.0344626168224299	0.02102803738317757	0.34615384615384615
commissioned_T070_A032	73	26	1712	73	2.8076923076923075	0.8493150684931506	0.11390186915887851	0.04672897196261682	0.030957943925233645	0.23076923076923078
original_T095_A032	74	26	1712	74	2.8461538461538463	0.8108108108108109	0.084696261682243	0.0344626168224299	0.02102803738317757	0.34615384615384615
commissioned_T070_A032	74	26	1712	74	2.8461538461538463	0.8513513513513513	0.11448598130841121	0.04731308411214953	0.03154205607476635	0.23076923076923078
original_T095_A032	75	26	1712	75	2.8846153846153846	0.8133333333333334	0.084696261682243	0.0344626168224299	0.02102803738317757	0.34615384615384615
commissioned_T070_A032	75	26	1712	75	2.8846153846153846	0.84	0.11507009345794393	0.04731308411214953	0.03154205607476635	0.23076923076923078
original_T095_A032	76	26	1712	76	2.923076923076923	0.8157894736842105	0.0852803738317757	0.035046728971962614	0.02161214953271028	0.34615384615384615
commissioned_T070_A032	76	26	1712	76	2.923076923076923	0.8421052631578947	0.11799065420560748	0.05023364485981308	0.03212616822429906	0.23076923076923078
original_T095_A032	77	26	1712	77	2.9615384615384617	0.8181818181818182	0.08586448598130841	0.035630841121495324	0.02219626168224299	0.34615384615384615
commissioned_T070_A032	77	26	1712	77	2.9615384615384617	0.8311688311688312	0.11799065420560748	0.05023364485981308	0.03212616822429906	0.23076923076923078
original_T095_A032	78	26	1712	78	3.0	0.8076923076923077	0.08586448598130841	0.035630841121495324	0.02219626168224299	0.34615384615384615
commissioned_T070_A032	78	26	1712	78	3.0	0.8333333333333334	0.1191588785046729	0.0514018691588785	0.03271028037383177	0.23076923076923078
original_T095_A032	79	26	1712	79	3.0384615384615383	0.7974683544303798	0.08586448598130841	0.035630841121495324	0.02219626168224299	0.34615384615384615
commissioned_T070_A032	79	26	1712	79	3.0384615384615383	0.8227848101265823	0.1191588785046729	0.0514018691588785	0.03271028037383177	0.23076923076923078
original_T095_A032	80	26	1712	80	3.076923076923077	0.7875	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.34615384615384615
commissioned_T070_A032	80	26	1712	80	3.076923076923077	0.825	0.11974299065420561	0.051985981308411214	0.03329439252336448	0.23076923076923078
original_T095_A032	81	26	1712	81	3.1153846153846154	0.7777777777777778	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.38461538461538464
commissioned_T070_A032	81	26	1712	81	3.1153846153846154	0.8271604938271605	0.12032710280373832	0.052570093457943924	0.03387850467289719	0.23076923076923078
original_T095_A032	82	26	1712	82	3.1538461538461537	0.7804878048780488	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.38461538461538464
commissioned_T070_A032	82	26	1712	82	3.1538461538461537	0.8292682926829268	0.12032710280373832	0.052570093457943924	0.03387850467289719	0.23076923076923078
original_T095_A032	83	26	1712	83	3.1923076923076925	0.7831325301204819	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.38461538461538464
commissioned_T070_A032	83	26	1712	83	3.1923076923076925	0.8313253012048193	0.12091121495327103	0.053154205607476634	0.0344626168224299	0.23076923076923078
