ranker_scheme	variant	instance_coverage	candidate_labeled_coverage	same_role_purity	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10	proposal_set_coverage_ceiling	per_tile_K20_oracle_one_to_one_recall
original_only_shared	commissioned	0.25	0.75	0.5	471.0	0.1592356687898089	0.05899532710280374	0.030373831775700934	0.030373831775700934	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.19158878504672897	0.09754672897196262
original_only_shared	original	0.25	0.75	0.75	471.0	0.4437367303609342	0.22780373831775702	0.15245327102803738	0.09579439252336448	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.22546728971962618	0.12850467289719625
original_only_shared	commissioned	0.25	0.75	0.75	471.0	0.1592356687898089	0.05899532710280374	0.030373831775700934	0.030373831775700934	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.1758177570093458	0.0969626168224299
original_only_shared	original	0.25	0.75	0.9	471.0	0.4394904458598726	0.22780373831775702	0.11799065420560748	0.09462616822429906	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.1875	0.12792056074766356
original_only_shared	commissioned	0.25	0.75	0.9	471.0	0.1592356687898089	0.05899532710280374	0.030373831775700934	0.030373831775700934	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.13551401869158877	0.09579439252336448
original_only_shared	original	0.5	0.25	0.5	471.0	0.6220806794055201	0.16822429906542055	0.16647196261682243	0.09287383177570094	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.2651869158878505	0.1483644859813084
original_only_shared	commissioned	0.5	0.25	0.5	471.0	0.27176220806794055	0.04147196261682243	0.04088785046728972	0.04030373831775701	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.48189252336448596	0.1985981308411215
original_only_shared	original	0.5	0.25	0.75	471.0	0.6178343949044586	0.16822429906542055	0.1419392523364486	0.09170560747663552	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.23773364485981308	0.14719626168224298
original_only_shared	commissioned	0.5	0.25	0.75	471.0	0.27176220806794055	0.04147196261682243	0.04088785046728972	0.04030373831775701	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.4427570093457944	0.19801401869158877
original_only_shared	original	0.5	0.25	0.9	471.0	0.613588110403397	0.16822429906542055	0.10981308411214953	0.0905373831775701	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.20210280373831777	0.14602803738317757
original_only_shared	commissioned	0.5	0.25	0.9	471.0	0.27176220806794055	0.04147196261682243	0.04088785046728972	0.04030373831775701	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.4036214953271028	0.19684579439252337
original_only_shared	original	0.5	0.5	0.5	471.0	0.5966029723991507	0.16822429906542055	0.16121495327102803	0.08820093457943926	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.2558411214953271	0.1419392523364486
original_only_shared	commissioned	0.5	0.5	0.5	471.0	0.23779193205944799	0.04147196261682243	0.035046728971962614	0.0344626168224299	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.3808411214953271	0.16355140186915887
original_only_shared	original	0.5	0.5	0.75	471.0	0.5923566878980892	0.16822429906542055	0.1366822429906542	0.08703271028037383	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.2283878504672897	0.14077102803738317
original_only_shared	commissioned	0.5	0.5	0.75	471.0	0.23779193205944799	0.04147196261682243	0.035046728971962614	0.0344626168224299	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.34170560747663553	0.16296728971962618
original_only_shared	original	0.5	0.5	0.9	471.0	0.5881104033970276	0.16822429906542055	0.10455607476635514	0.08586448598130841	0.8076923076923077	0.8076923076923077	0.8076923076923077	0.1927570093457944	0.13960280373831777
original_only_shared	commissioned	0.5	0.5	0.9	471.0	0.23779193205944799	0.04147196261682243	0.035046728971962614	0.0344626168224299	0.2692307692307692	0.2692307692307692	0.2692307692307692	0.30257009345794394	0.16179906542056074
