model	seed	instance_coverage	candidate_labeled_coverage	same_role_purity	weed_instances	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.5	0.75	1712	520	0.8	0.2610981308411215	0.24591121495327103	0.23072429906542055	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.5	0.9	1712	520	0.8	0.2610981308411215	0.24591121495327103	0.23072429906542055	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.75	0.5	1712	520	0.5307692307692308	0.2610981308411215	0.1647196261682243	0.15537383177570094	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.75	0.75	1712	520	0.5307692307692308	0.2610981308411215	0.1647196261682243	0.15537383177570094	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.25	0.75	0.9	1712	520	0.5307692307692308	0.2610981308411215	0.1647196261682243	0.15537383177570094	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.25	0.5	1712	520	0.85	0.24532710280373832	0.2447429906542056	0.2324766355140187	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.25	0.75	1712	520	0.85	0.24532710280373832	0.2447429906542056	0.2324766355140187	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.25	0.9	1712	520	0.85	0.24532710280373832	0.2447429906542056	0.2324766355140187	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.5	0.5	1712	520	0.8	0.24532710280373832	0.23130841121495327	0.22021028037383178	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.5	0.75	1712	520	0.8	0.24532710280373832	0.23130841121495327	0.22021028037383178	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.5	0.9	1712	520	0.8	0.24532710280373832	0.23130841121495327	0.22021028037383178	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.75	0.5	1712	520	0.5307692307692308	0.24532710280373832	0.1542056074766355	0.1477803738317757	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.75	0.75	1712	520	0.5307692307692308	0.24532710280373832	0.1542056074766355	0.1477803738317757	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.5	0.75	0.9	1712	520	0.5307692307692308	0.24532710280373832	0.1542056074766355	0.1477803738317757	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.75	0.25	0.5	1712	520	0.85	0.16822429906542055	0.16764018691588786	0.16121495327102803	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.75	0.25	0.75	1712	520	0.85	0.16822429906542055	0.16764018691588786	0.16121495327102803	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.75	0.25	0.9	1712	520	0.85	0.16822429906542055	0.16764018691588786	0.16121495327102803	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.75	0.5	0.5	1712	520	0.8	0.16822429906542055	0.1582943925233645	0.1530373831775701	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.75	0.5	0.75	1712	520	0.8	0.16822429906542055	0.1582943925233645	0.1530373831775701	0.23076923076923078	0.19230769230769232	0.11538461538461539
Mask R-CNN--ResNet50-FPN-v2	20260820	0.75	0.5	0.9	1712	520	0.8	0.16822429906542055	0.1582943925233645	0.1530373831775701	0.23076923076923078	0.19230769230769232	0.11538461538461539
