variant	setting	official_split	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	recalled_instances	role_qualified_proposal_recall
original_T095_A032	T095_A032	train	crop	0.75	0.75	0.5	1461	212	0.14510609171800137
original_T095_A032	T095_A032	train	weed	0.75	0.75	0.5	6509	285	0.04378552773083423
original_T095_A032	T095_A032	train	crop	0.75	0.75	0.75	1461	170	0.1163586584531143
original_T095_A032	T095_A032	train	weed	0.75	0.75	0.75	6509	266	0.04086649254877862
original_T095_A032	T095_A032	train	crop	0.75	0.75	0.9	1461	148	0.10130047912388775
original_T095_A032	T095_A032	train	weed	0.75	0.75	0.9	6509	257	0.03948379167306806
original_T095_A032	T095_A032	val	crop	0.25	0.25	0.5	451	313	0.6940133037694013
original_T095_A032	T095_A032	val	weed	0.25	0.25	0.5	1808	478	0.2643805309734513
original_T095_A032	T095_A032	val	crop	0.25	0.25	0.75	451	278	0.6164079822616408
original_T095_A032	T095_A032	val	weed	0.25	0.25	0.75	1808	461	0.2549778761061947
original_T095_A032	T095_A032	val	crop	0.25	0.25	0.9	451	249	0.5521064301552107
original_T095_A032	T095_A032	val	weed	0.25	0.25	0.9	1808	457	0.25276548672566373
original_T095_A032	T095_A032	val	crop	0.25	0.5	0.5	451	286	0.6341463414634146
original_T095_A032	T095_A032	val	weed	0.25	0.5	0.5	1808	445	0.2461283185840708
original_T095_A032	T095_A032	val	crop	0.25	0.5	0.75	451	252	0.5587583148558758
original_T095_A032	T095_A032	val	weed	0.25	0.5	0.75	1808	428	0.23672566371681417
original_T095_A032	T095_A032	val	crop	0.25	0.5	0.9	451	225	0.49889135254988914
original_T095_A032	T095_A032	val	weed	0.25	0.5	0.9	1808	424	0.2345132743362832
original_T095_A032	T095_A032	val	crop	0.25	0.75	0.5	451	155	0.3436807095343681
original_T095_A032	T095_A032	val	weed	0.25	0.75	0.5	1808	340	0.18805309734513273
original_T095_A032	T095_A032	val	crop	0.25	0.75	0.75	451	129	0.2860310421286031
original_T095_A032	T095_A032	val	weed	0.25	0.75	0.75	1808	328	0.18141592920353983
original_T095_A032	T095_A032	val	crop	0.25	0.75	0.9	451	112	0.24833702882483372
original_T095_A032	T095_A032	val	weed	0.25	0.75	0.9	1808	324	0.17920353982300885
original_T095_A032	T095_A032	val	crop	0.5	0.25	0.5	451	233	0.516629711751663
original_T095_A032	T095_A032	val	weed	0.5	0.25	0.5	1808	318	0.17588495575221239
original_T095_A032	T095_A032	val	crop	0.5	0.25	0.75	451	204	0.4523281596452328
original_T095_A032	T095_A032	val	weed	0.5	0.25	0.75	1808	305	0.16869469026548672
original_T095_A032	T095_A032	val	crop	0.5	0.25	0.9	451	178	0.3946784922394678
original_T095_A032	T095_A032	val	weed	0.5	0.25	0.9	1808	304	0.168141592920354
original_T095_A032	T095_A032	val	crop	0.5	0.5	0.5	451	211	0.4678492239467849
original_T095_A032	T095_A032	val	weed	0.5	0.5	0.5	1808	290	0.16039823008849557
original_T095_A032	T095_A032	val	crop	0.5	0.5	0.75	451	183	0.4057649667405765
original_T095_A032	T095_A032	val	weed	0.5	0.5	0.75	1808	277	0.1532079646017699
original_T095_A032	T095_A032	val	crop	0.5	0.5	0.9	451	159	0.352549889135255
original_T095_A032	T095_A032	val	weed	0.5	0.5	0.9	1808	276	0.15265486725663716
original_T095_A032	T095_A032	val	crop	0.5	0.75	0.5	451	96	0.21286031042128603
original_T095_A032	T095_A032	val	weed	0.5	0.75	0.5	1808	207	0.11449115044247787
original_T095_A032	T095_A032	val	crop	0.5	0.75	0.75	451	76	0.16851441241685144
original_T095_A032	T095_A032	val	weed	0.5	0.75	0.75	1808	199	0.11006637168141593
original_T095_A032	T095_A032	val	crop	0.5	0.75	0.9	451	62	0.13747228381374724
original_T095_A032	T095_A032	val	weed	0.5	0.75	0.9	1808	198	0.10951327433628319
original_T095_A032	T095_A032	val	crop	0.75	0.25	0.5	451	128	0.2838137472283814
original_T095_A032	T095_A032	val	weed	0.75	0.25	0.5	1808	151	0.08351769911504425
original_T095_A032	T095_A032	val	crop	0.75	0.25	0.75	451	112	0.24833702882483372
original_T095_A032	T095_A032	val	weed	0.75	0.25	0.75	1808	141	0.07798672566371681
original_T095_A032	T095_A032	val	crop	0.75	0.25	0.9	451	91	0.2017738359201774
original_T095_A032	T095_A032	val	weed	0.75	0.25	0.9	1808	140	0.07743362831858407
original_T095_A032	T095_A032	val	crop	0.75	0.5	0.5	451	110	0.24390243902439024
