variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
nested_commissioned	role_only	2023-06-06	20	48	960	563	151	246	0.5864583333333333	0.2147693609818028	0.1396529834955565	0.9375	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.9583333333333334
nested_commissioned	local_only	2023-06-06	1	48	48	19	0	29	0.3958333333333333	0.0027507405840033854	0.0021159542953872196	0.0	0.0	0.0	0.0	0.0
nested_commissioned	local_only	2023-06-06	5	48	240	111	1	128	0.4625	0.017985611510791366	0.01523487092678798	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
nested_commissioned	local_only	2023-06-06	10	48	480	244	2	234	0.5083333333333333	0.04422344477359289	0.038510368176047395	0.041666666666666664	0.0625	0.0625	0.0625	0.041666666666666664
nested_commissioned	local_only	2023-06-06	20	48	960	555	7	398	0.578125	0.11955141768937791	0.0992382564536606	0.14583333333333334	0.25	0.25	0.25	0.14583333333333334
nested_commissioned	role_plus_local	2023-06-06	1	48	48	22	0	26	0.4583333333333333	0.0025391451544646637	0.0016927634363097758	0.0	0.0	0.0	0.0	0.0
nested_commissioned	role_plus_local	2023-06-06	5	48	240	107	1	132	0.44583333333333336	0.01629284807448159	0.013542107490478206	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332	0.020833333333333332
nested_commissioned	role_plus_local	2023-06-06	10	48	480	238	2	240	0.49583333333333335	0.046974185357596274	0.039568345323741004	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664
nested_commissioned	role_plus_local	2023-06-06	20	48	960	533	10	417	0.5552083333333333	0.12970799830723656	0.09733389758781211	0.1875	0.3125	0.3125	0.3125	0.1875
nested_commissioned	role_only	2023-06-15	1	12	12	8	0	4	0.6666666666666666	0.14563928873835733	0.006773920406435224	0.0	0.25	0.25	0.25	0.0
nested_commissioned	role_only	2023-06-15	5	12	60	42	1	17	0.7	0.16172734970364097	0.013547840812870448	0.08333333333333333	0.75	0.75	0.75	0.25
nested_commissioned	role_only	2023-06-15	10	12	120	83	6	31	0.6916666666666667	0.21591871295512277	0.03471634208298052	0.4166666666666667	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.4166666666666667
nested_commissioned	role_only	2023-06-15	20	12	239	156	16	67	0.6527196652719666	0.31752751905165116	0.04911092294665537	0.5833333333333334	1.0	1.0	1.0	0.5833333333333334
nested_commissioned	local_only	2023-06-15	1	12	12	8	2	2	0.6666666666666666	0.0558848433530906	0.0	0.16666666666666666	0.25	0.25	0.25	0.16666666666666666
nested_commissioned	local_only	2023-06-15	5	12	60	39	4	17	0.65	0.1693480101608806	0.013547840812870448	0.3333333333333333	0.75	0.75	0.75	0.3333333333333333
nested_commissioned	local_only	2023-06-15	10	12	120	80	5	35	0.6666666666666666	0.2252328535139712	0.01693480101608806	0.4166666666666667	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.4166666666666667
nested_commissioned	local_only	2023-06-15	20	12	239	161	15	63	0.6736401673640168	0.2777307366638442	0.04403048264182896	0.6666666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.6666666666666666
nested_commissioned	role_plus_local	2023-06-15	1	12	12	8	1	3	0.6666666666666666	0.0	0.0	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333
nested_commissioned	role_plus_local	2023-06-15	5	12	60	40	3	17	0.6666666666666666	0.14902624894157493	0.003386960203217612	0.25	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.25
nested_commissioned	role_plus_local	2023-06-15	10	12	120	80	6	34	0.6666666666666666	0.2243861134631668	0.01693480101608806	0.5	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.5
nested_commissioned	role_plus_local	2023-06-15	20	12	239	166	13	60	0.694560669456067	0.275190516511431	0.04233700254022015	0.6666666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.6666666666666666
