variant	held_out_date	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	role_qualified_proposal_recall
nested_commissioned	2023-05-25	crop	0.75	0.5	0.75	821	0.25334957369062117
nested_commissioned	2023-05-25	weed	0.75	0.5	0.75	1695	0.01710914454277286
nested_commissioned	2023-05-25	crop	0.75	0.5	0.9	821	0.25213154689403167
nested_commissioned	2023-05-25	weed	0.75	0.5	0.9	1695	0.01710914454277286
nested_commissioned	2023-05-25	crop	0.75	0.75	0.5	821	0.023142509135200974
nested_commissioned	2023-05-25	weed	0.75	0.75	0.5	1695	0.002359882005899705
nested_commissioned	2023-05-25	crop	0.75	0.75	0.75	821	0.023142509135200974
nested_commissioned	2023-05-25	weed	0.75	0.75	0.75	1695	0.002359882005899705
nested_commissioned	2023-05-25	crop	0.75	0.75	0.9	821	0.023142509135200974
nested_commissioned	2023-05-25	weed	0.75	0.75	0.9	1695	0.002359882005899705
nested_commissioned	2023-05-30	crop	0.25	0.25	0.5	520	0.8711538461538462
nested_commissioned	2023-05-30	weed	0.25	0.25	0.5	2427	0.45488257107540175
nested_commissioned	2023-05-30	crop	0.25	0.25	0.75	520	0.8365384615384616
nested_commissioned	2023-05-30	weed	0.25	0.25	0.75	2427	0.45282241450350225
nested_commissioned	2023-05-30	crop	0.25	0.25	0.9	520	0.7153846153846154
nested_commissioned	2023-05-30	weed	0.25	0.25	0.9	2427	0.45282241450350225
nested_commissioned	2023-05-30	crop	0.25	0.5	0.5	520	0.32884615384615384
nested_commissioned	2023-05-30	weed	0.25	0.5	0.5	2427	0.24969097651421507
nested_commissioned	2023-05-30	crop	0.25	0.5	0.75	520	0.3211538461538462
nested_commissioned	2023-05-30	weed	0.25	0.5	0.75	2427	0.24969097651421507
nested_commissioned	2023-05-30	crop	0.25	0.5	0.9	520	0.3
nested_commissioned	2023-05-30	weed	0.25	0.5	0.9	2427	0.24969097651421507
nested_commissioned	2023-05-30	crop	0.25	0.75	0.5	520	0.06153846153846154
nested_commissioned	2023-05-30	weed	0.25	0.75	0.5	2427	0.05603625875566543
nested_commissioned	2023-05-30	crop	0.25	0.75	0.75	520	0.06153846153846154
nested_commissioned	2023-05-30	weed	0.25	0.75	0.75	2427	0.05603625875566543
nested_commissioned	2023-05-30	crop	0.25	0.75	0.9	520	0.057692307692307696
nested_commissioned	2023-05-30	weed	0.25	0.75	0.9	2427	0.05603625875566543
nested_commissioned	2023-05-30	crop	0.5	0.25	0.5	520	0.8307692307692308
nested_commissioned	2023-05-30	weed	0.5	0.25	0.5	2427	0.40873506386485375
nested_commissioned	2023-05-30	crop	0.5	0.25	0.75	520	0.7961538461538461
nested_commissioned	2023-05-30	weed	0.5	0.25	0.75	2427	0.40667490729295425
